Word,Count
the,325501
a,157859
and,146729
of,137229
to,136674
is,98956
in,87309
this,80692
i,80502
it,77408
that,69817
was,52145
movie,48819
for,43091
but,42092
with,41529
as,40497
film,36309
on,34094
not,32146
have,30591
you,30432
are,29101
be,28769
one,25804
at,24315
his,23779
he,23614
they,23606
its,23564
all,23516
so,22555
like,22360
just,20952
by,20706
an,20461
or,20152
from,19539
if,19106
who,18722
out,17887
about,17737
there,17292
some,16612
what,15822
no,15777
her,15254
even,15159
has,15028
good,14558
bad,14456
would,13744
up,13744
when,13425
only,13334
more,13203
were,12439
really,12265
time,12113
had,11988
my,11933
very,11508
which,11235
me,11040
she,11025
can,10871
see,10673
their,10472
do,10336
dont,10209
than,10151
been,10099
get,10070
much,10050
story,10038
because,9677
make,9331
how,9240
people,9218
then,9217
we,9212
any,9101
into,9065
could,9055
made,8739
movies,8620
other,8607
well,8380
first,8307
them,8206
too,8134
plot,8113
acting,7967
will,7810
most,7780
way,7686
him,7654
characters,7620
after,7477
watch,7151
off,7134
also,7133
think,7102
films,6963
did,6944
why,6809
know,6675
being,6666
better,6642
never,6622
character,6598
seen,6515
your,6503
ever,6441
where,6385
over,6377
two,6354
little,5962
say,5863
many,5804
nothing,5786
something,5758
show,5750
scene,5722
thing,5678
im,5662
end,5644
does,5626
should,5592
scenes,5564
these,5512
didnt,5435
here,5413
watching,5318
go,5182
doesnt,5143
great,5111
actually,5061
actors,4983
through,4982
such,4968
worst,4851
while,4776
man,4682
life,4653
going,4625
back,4598
funny,4507
look,4487
cant,4464
director,4452
another,4427
still,4402
thats,4395
now,4390
those,4332
real,4284
love,4261
pretty,4241
minutes,4241
few,4239
old,4235
before,4201
horror,4151
&,4145
want,4141
same,4094
best,4076
though,4041
work,4028
script,4023
every,4020
seems,3964
least,3954
enough,3939
guy,3899
down,3897
around,3841
got,3827
10,3812
part,3806
lot,3790
find,3742
theres,3726
isnt,3722
things,3684
fact,3676
give,3649
thought,3648
original,3640
anything,3625
makes,3608
whole,3575
take,3551
point,3543
2,3523
ive,3503
again,3496
new,3448
big,3439
however,3417
years,3408
long,3402
gets,3359
far,3306
might,3301
interesting,3289
cast,3250
making,3217
action,3186
without,3176
us,3173
almost,3141
right,3134
come,3130
quite,3128
am,3093
kind,3048
money,3044
awful,3023
done,3002
hes,3000
poor,2993
must,2974
trying,2973
comedy,2954
reason,2943
looking,2931
probably,2927
boring,2903
looks,2895
believe,2872
stupid,2867
saw,2861
wasnt,2859
instead,2848
tv,2843
maybe,2817
away,2807
effects,2802
terrible,2801
anyone,2784
sure,2770
may,2764
someone,2759
rather,2754
times,2753
half,2751
hard,2750
between,2736
since,2708
girl,2705
feel,2660
last,2650
bit,2619
book,2602
waste,2590
world,2584
idea,2582
put,2580
young,2544
own,2526
music,2518
sense,2502
found,2500
having,2494
goes,2482
main,2473
woman,2469
budget,2466
series,2459
role,2430
worse,2424
screen,2419
both,2406
completely,2394
everything,2381
yet,2373
3,2351
low,2349
said,2347
else,2344
comes,2337
ending,2315
left,2305
special,2301
set,2286
either,2285
watched,2282
1,2273
seem,2272
shot,2263
always,2262
place,2249
supposed,2245
youre,2217
audience,2214
three,2202
course,2190
simply,2185
actor,2185
high,2179
worth,2177
day,2174
camera,2165
mean,2164
wrong,2151
family,2108
oh,2100
couldnt,2094
horrible,2090
read,2077
dead,2070
sex,2069
once,2066
rest,2051
played,2045
house,2037
although,2037
fun,2034
try,2031
black,2028
american,2026
line,2025
during,2021
night,2012
video,2010
less,2010
our,2002
used,1984
production,1967
year,1953
seeing,1953
everyone,1950
each,1947
play,1944
dialogue,1936
kids,1931
version,1926
start,1919
given,1908
together,1898
tell,1898
dvd,1894
performance,1884
let,1880
mind,1873
shows,1866
need,1866
fan,1865
use,1860
star,1858
takes,1842
especially,1839
couple,1836
name,1825
second,1816
getting,1814
doing,1813
problem,1810
guess,1805
women,1803
next,1800
lines,1795
guys,1788
unfortunately,1774
school,1774
himself,1757
piece,1746
help,1741
death,1741
friends,1737
short,1735
head,1728
4,1726
sort,1723
later,1713
different,1706
seemed,1705
plays,1703
absolutely,1695
nice,1694
laugh,1691
understand,1683
wife,1679
called,1668
went,1666
entire,1666
care,1663
crap,1657
along,1651
true,1642
person,1638
john,1633
face,1625
men,1624
title,1621
full,1619
case,1613
hollywood,1609
decent,1609
wanted,1608
top,1608
itself,1608
home,1608
totally,1606
job,1604
perhaps,1596
written,1594
felt,1594
came,1589
killer,1587
until,1579
flick,1567
hour,1561
keep,1530
annoying,1529
writing,1524
playing,1524
yes,1521
sound,1521
kill,1520
theyre,1516
stars,1513
tries,1507
save,1503
direction,1499
id,1495
ridiculous,1494
evil,1492
ok,1489
example,1484
obviously,1464
ill,1453
already,1447
truly,1440
remember,1439
killed,1434
shes,1432
attempt,1429
moments,1414
lost,1412
cheap,1405
act,1403
thinking,1400
lead,1400
god,1398
looked,1394
girls,1390
finally,1389
quality,1386
except,1386
turn,1384
b,1378
war,1377
hell,1376
car,1369
white,1362
style,1361
gore,1360
enjoy,1360
boy,1350
lack,1349
run,1346
wouldnt,1344
blood,1344
others,1341
father,1333
recommend,1326
small,1325
stuff,1322
5,1316
myself,1314
wont,1311
under,1310
beginning,1309
early,1308
none,1306
hope,1302
dull,1300
complete,1298
several,1289
etc,1288
overall,1287
starts,1286
obvious,1284
wonder,1275
happens,1274
against,1274
certainly,1273
stop,1271
gave,1270
based,1266
seriously,1265
slow,1257
apparently,1257
youll,1255
poorly,1252
picture,1251
often,1247
friend,1244
kid,1242
saying,1241
despite,1239
final,1236
anyway,1233
silly,1227
fans,1226
jokes,1223
episode,1223
cut,1223
predictable,1222
,1218
please,1217
close,1213
becomes,1211
lets,1207
hand,1206
classic,1203
avoid,1202
lame,1200
mr,1197
become,1194
writer,1191
behind,1190
mother,1182
humor,1182
expect,1179
game,1178
live,1174
wants,1171
says,1169
cinema,1169
entertaining,1168
beautiful,1167
fight,1165
hours,1164
dark,1164
throughout,1163
group,1163
matter,1160
sorry,1158
days,1157
human,1156
cannot,1154
able,1153
liked,1143
scary,1142
running,1140
basically,1137
involved,1135
shots,1133
bunch,1132
took,1129
side,1126
town,1122
self,1122
call,1121
performances,1120
themselves,1117
happened,1117
directed,1117
children,1117
type,1114
turns,1110
actress,1108
disappointed,1104
heard,1103
happen,1099
parts,1098
monster,1097
ones,1094
female,1093
extremely,1092
dialog,1092
started,1087
voice,1086
gives,1077
son,1076
genre,1076
talking,1075
rating,1073
daughter,1073
interest,1072
beyond,1070
possible,1069
violence,1067
turned,1065
talent,1062
eyes,1062
child,1062
whats,1060
tried,1057
huge,1054
badly,1053
leave,1051
cool,1050
yourself,1047
word,1045
sequel,1045
hero,1045
viewer,1044
michael,1044
drama,1043
body,1043
unless,1040
exactly,1040
usually,1039
definitely,1036
arent,1036
single,1031
serious,1029
review,1027
non,1023
art,1019
mess,1017
coming,1015
past,1011
okay,1010
feeling,1010
wasted,1007
middle,1004
weak,1002
police,1001
straight,999
