Word,Count
the,339805
and,175491
a,163436
of,152034
to,131179
is,111548
in,98963
it,76470
i,71820
this,69114
that,66600
as,50927
with,45603
for,44121
was,43234
film,40522
but,40050
movie,36616
his,33650
on,33582
you,29248
are,29171
he,28538
not,28131
one,26709
its,25491
have,24548
be,24487
by,23697
all,22882
an,22440
at,22319
who,21575
from,20866
her,19312
they,18006
has,17938
so,17935
like,17613
about,16323
very,16123
out,16006
or,15288
good,14751
more,14640
what,14539
if,14529
when,14487
some,14412
just,14014
there,13515
she,12998
my,12838
story,12769
great,12690
well,12546
time,12501
up,12364
their,12245
see,12132
which,11894
can,11035
also,10734
really,10701
would,10457
will,10247
had,10048
me,9991
we,9930
were,9827
only,9821
him,9681
even,9541
most,9534
other,9452
first,9185
than,9166
much,9129
no,9122
into,8764
love,8599
films,8594
people,8473
best,8421
how,8263
get,8244
been,8234
because,7939
life,7929
way,7757
do,7704
many,7602
them,7552
after,7400
characters,7303
made,7288
movies,7245
think,7178
two,7124
too,6937
dont,6680
seen,6672
watch,6644
character,6606
then,6600
make,6530
show,6501
little,6452
being,6426
still,6386
never,6321
man,6274
could,6124
where,6074
does,5929
any,5908
over,5747
know,5708
did,5528
while,5522
years,5398
ever,5321
end,5263
these,5181
scene,5094
real,5082
those,5026
such,4994
your,4977
here,4940
back,4909
scenes,4855
say,4823
off,4785
acting,4728
plot,4720
makes,4698
through,4668
go,4666
better,4634
new,4632
us,4597
now,4592
world,4558
though,4556
find,4455
young,4435
work,4420
10,4365
both,4345
old,4329
something,4252
before,4231
lot,4220
quite,4132
another,4095
again,4071
cast,4069
always,4051
own,4030
series,4011
part,4010
should,4006
funny,4001
actors,4000
same,3969
every,3927
music,3839
between,3835
may,3800
im,3791
role,3787
watching,3777
look,3730
doesnt,3725
director,3711
few,3702
bad,3684
performance,3632
things,3631
family,3560
going,3545
why,3514
comedy,3506
times,3496
big,3486
must,3460
saw,3456
down,3439
however,3433
take,3418
long,3406
actually,3374
didnt,3364
thing,3323
bit,3321
